player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Filip_Benkovic,0.0,46.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Florian_Lejeune,125.0,105.0,4,2,1.19,14.0,1.02,0.032,0.2857,0.1566,0.2222
Florin_Andone,43.0,67.0,4,4,0.64,0.0,1.0,0.093,0.0,0.0842,0.0
Francisco_Femenía Far,167.0,105.0,4,2,1.59,7.0,1.01,0.024,0.5714,0.2092,0.1111
Fraser_Forster,209.0,143.0,4,1,1.46,0.0,1.0,0.0191,0.0,0.1921,0.0
Frederick_Woodman,0.0,55.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Frederico_Rodrigues de Paula Santos,86.0,67.0,5,3,1.28,13.0,1.02,0.0581,0.3846,0.1684,0.2222
Frédéric_Guilbert,48.0,28.0,4,2,1.71,5.0,1.01,0.0833,0.8,0.225,0.1111
Gabriel Fernando_de Jesus,369.0,122.0,9,4,3.02,13.0,1.02,0.0244,0.6923,0.3974,0.2222
Gabriel Teodoro_Martinelli Silva,39.0,28.0,4,4,1.39,18.0,1.03,0.1026,0.2222,0.1829,0.3333
Gary_Cahill,313.0,143.0,4,2,2.19,22.0,1.04,0.0128,0.1818,0.2882,0.4444
Gavin_Kilkenny,0.0,16.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gaëtan_Bong,114.0,105.0,4,2,1.09,0.0,1.0,0.0351,0.0,0.1434,0.0
Gedson_Carvalho Fernandes,4.0,7.0,4,3,0.57,3.0,1.01,1.0,1.3333,0.075,0.1111
Georges-Kévin_Nkoudou,24.0,140.0,5,3,0.17,0.0,1.0,0.2083,0.0,0.0224,0.0
George_Baldock,115.0,28.0,5,2,4.11,18.0,1.03,0.0435,0.2778,0.5408,0.3333
Georginio_Wijnaldum,427.0,143.0,5,3,2.99,20.0,1.03,0.0117,0.25,0.3934,0.3333
Gerard_Deulofeu,259.0,119.0,6,4,2.18,15.0,1.03,0.0232,0.4,0.2868,0.3333
Giovani_Lo Celso,25.0,29.0,7,3,0.86,7.0,1.01,0.28,1.0,0.1132,0.1111
Giovanni_McGregor,0.0,7.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Glenn_Murray,269.0,105.0,5,4,2.56,11.0,1.02,0.0186,0.4545,0.3368,0.2222
Gonçalo Bento_Soares Cardoso,0.0,9.0,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grady_Diangana,25.0,69.0,4,3,0.36,0.0,1.0,0.16,0.0,0.0474,0.0
Granit_Xhaka,331.0,142.0,5,3,2.33,12.0,1.02,0.0151,0.4167,0.3066,0.2222
Grant_Hanley,23.0,67.0,4,2,0.34,17.0,1.03,0.1739,0.2353,0.0447,0.3333
Gylfi_Sigurdsson,528.0,143.0,7,3,3.69,14.0,1.02,0.0133,0.5,0.4855,0.2222
Hamza_Choudhury,63.0,92.0,4,3,0.68,5.0,1.01,0.0635,0.8,0.0895,0.1111
Harry_Kane,705.0,143.0,10,4,4.93,0.0,1.0,0.0142,0.0,0.6487,0.0
Harry_Lewis,0.0,42.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Harry_Maguire,369.0,143.0,5,2,2.58,34.0,1.06,0.0136,0.1471,0.3395,0.6667
Harry_Wilson,84.0,40.0,5,3,2.1,18.0,1.03,0.0595,0.2778,0.2763,0.3333
Harry_Winks,149.0,143.0,5,3,1.04,8.0,1.01,0.0336,0.625,0.1368,0.1111
Harvey_Barnes,158.0,52.0,6,3,3.04,44.0,1.07,0.038,0.1364,0.4,0.7778
Harvey_Elliott,3.0,27.0,4,3,0.11,0.0,1.0,1.3333,0.0,0.0145,0.0
Henrikh_Mkhitaryan,282.0,142.0,6,3,1.99,0.0,1.0,0.0213,0.0,0.2618,0.0
Henri_Lansbury,11.0,28.0,4,3,0.39,0.0,1.0,0.3636,0.0,0.0513,0.0
Heung-Min_Son,633.0,143.0,9,3,4.43,28.0,1.05,0.0142,0.3214,0.5829,0.5556
Heurelho da Silva_Gomes,0.0,29.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hugo_Lloris,483.0,143.0,5,1,3.38,28.0,1.05,0.0104,0.1786,0.4447,0.5556
Héctor_Bellerín,336.0,142.0,5,2,2.37,24.0,1.04,0.0149,0.2083,0.3118,0.4444
Hélder_Costa,52.0,67.0,4,3,0.78,0.0,1.0,0.0769,0.0,0.1026,0.0
Ibrahim_Amadou,18.0,29.0,4,3,0.62,0.0,1.0,0.2222,0.0,0.0816,0.0
Idrissa_Gueye,245.0,143.0,5,3,1.71,0.0,1.0,0.0204,0.0,0.225,0.0
Ignacio_Pussetto,5.0,7.0,4,3,0.71,4.0,1.01,0.8,1.0,0.0934,0.1111
Ilkay_Gündogan,288.0,142.0,5,3,2.03,8.0,1.01,0.0174,0.625,0.2671,0.1111
Indiana_Vassilev,2.0,7.0,4,3,0.29,2.0,1.0,2.0,2.0,0.0382,0.0
Isaac_Hayden,171.0,105.0,4,3,1.63,13.0,1.02,0.0234,0.3077,0.2145,0.2222
